MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
,,19,1.4968,1.7874,1.3510,101.77,104.10,20.17,17.42,2.0106,0.010324,1.2759,0.1186,33.89,4.2216,95.07,2.8855,37.10,36.02,137.52,3.8633,36.78,0.006058
,,20,1.4921,1.7729,1.3551,101.66,104.04,20.26,17.47,2.0177,0.010349,1.2787,0.1189,33.71,4.2319,95.58,2.8807,37.21,36.13,137.39,3.8684,36.89,0.006076
,,21,1.4983,1.7954,1.3575,101.76,104.06,20.35,17.50,2.0196,0.010356,1.2667,0.1191,33.51,4.2395,94.92,2.8776,37.28,36.20,137.86,3.8752,36.96,0.006086
,,22,1.4948,1.7926,1.3558,101.33,103.45,20.33,17.48,2.0183,0.010346,1.2807,0.1194,33.30,4.2309,94.84,2.8784,37.23,36.15,137.62,3.8793,36.91,0.006078
,,25,1.4931,1.7854,1.3607,101.67,103.58,20.38,17.54,2.0244,0.010361,1.2799,0.1197,33.34,4.2329,94.95,2.8842,37.37,36.28,137.78,3.8872,37.05,0.006100
,,26,1.4945,1.7840,1.3601,101.79,102.95,20.36,17.53,2.0187,0.010343,1.2974,0.1195,33.37,4.2290,95.32,2.8825,37.35,36.27,137.90,3.8805,37.03,0.006098
,,27,1.4947,1.7838,1.3594,101.57,103.10,20.38,17.52,2.0201,0.010351,1.2826,0.1198,33.35,4.2404,95.42,2.8808,37.33,36.25,137.08,3.8796,37.01,0.006096
,,28,1.4959,1.7858,1.3509,101.64,102.89,20.28,17.42,2.0159,0.010301,1.2885,0.1201,33.32,4.2294,96.08,2.8698,37.10,36.02,137.06,3.8697,36.78,0.006056
,,29,1.4949,1.7794,1.3475,101.67,102.54,20.27,17.37,2.0115,0.010296,1.3074,0.1201,33.27,4.2288,95.93,2.8649,37.00,35.93,137.82,3.8649,36.69,0.006043
,Aug,01,1.4970,1.7750,1.3392,101.86,102.75,20.19,17.26,2.0067,0.010239,1.3063,0.1205,33.21,4.2340,96.70,2.8515,36.78,35.71,138.20,3.8533,36.46,0.006006
,,02,1.5003,1.7709,1.3428,101.25,102.32,20.20,17.30,2.0116,0.010260,1.3104,0.1212,33.14,4.2488,96.48,2.8564,36.87,35.81,138.79,3.8608,36.56,0.006020
,,03,1.5028,1.7853,1.3401,101.86,102.14,20.22,17.27,2.0082,0.010220,1.3277,0.1205,33.02,4.2306,96.50,2.8507,36.80,35.73,138.76,3.8536,36.49,0.006008
,,04,1.4953,1.7892,1.3418,102.11,102.73,20.21,17.30,2.0030,0.010210,1.3257,0.1205,33.16,4.2341,96.23,2.8540,36.85,35.78,137.95,3.8381,36.53,0.006018
,,05,1.4940,1.7621,1.3418,102.80,103.02,20.19,17.30,2.0069,0.010226,1.3263,0.1208,33.23,4.2516,96.49,2.8563,36.85,35.78,137.78,3.8491,36.53,0.006016
,,08,1.4965,1.7639,1.3478,102.54,102.35,20.24,17.38,2.0171,0.010262,1.3210,0.1212,33.34,4.2747,95.87,2.8750,37.01,35.94,137.64,3.8564,36.69,0.006044
,,10,1.4950,1.7518,1.3408,103.12,102.61,20.17,17.29,2.0109,0.010220,1.3232,0.1226,33.50,4.3043,96.63,2.8663,36.82,35.75,136.86,3.8540,36.50,0.006012
,,11,1.5006,1.7469,1.3437,103.40,102.78,20.23,17.32,2.0088,0.010246,1.3242,0.1220,33.43,4.2871,97.66,2.8739,36.90,35.83,137.82,3.8601,36.58,0.006024
,,12,1.4987,1.7454,1.3453,103.39,103.65,20.25,17.34,2.0129,0.010253,1.3185,0.1222,33.54,4.2923,96.83,2.8813,36.95,35.87,137.99,3.8636,36.63,0.006033
,,15,1.5023,1.7413,1.3464,103.00,103.83,20.25,17.36,2.0117,0.010264,1.3291,0.1222,33.48,4.2920,96.62,2.8914,36.98,35.90,137.99,3.8790,36.66,0.006038
,,16,1.5023,1.7319,1.3419,103.11,103.89,20.22,17.30,2.0083,0.010242,1.3357,0.1227,33.59,4.3055,97.01,2.8967,36.86,35.78,138.08,3.8783,36.53,0.006016
,,17,1.5149,1.7512,1.3437,103.20,104.41,20.27,17.33,2.0080,0.010260,1.3355,0.1217,33.59,4.2732,97.65,2.8947,36.91,35.83,139.62,3.8790,36.58,0.006025
,,18,1.5154,1.7487,1.3395,103.22,104.44,20.22,17.27,2.0051,0.010213,1.3405,0.1211,33.53,4.2682,97.73,2.8918,36.80,35.72,139.43,3.8747,36.47,0.006007
,,19,1.5238,1.7664,1.3443,102.68,105.00,20.23,17.34,2.0078,0.010240,1.3401,0.1201,33.52,4.2459,97.53,2.8967,36.93,35.85,140.62,3.8808,36.60,0.006027
,,22,1.5253,1.7635,1.3526,102.62,104.67,20.29,17.45,2.0135,0.010228,1.3414,0.1199,33.53,4.2481,97.62,2.9001,37.16,36.07,140.28,3.8935,36.82,0.006065
,,23,1.5294,1.7738,1.3499,103.00,104.41,20.31,17.41,2.0109,0.010205,1.3453,0.1207,33.50,4.2554,98.65,2.9008,37.08,35.99,140.26,3.8986,36.75,0.006052
,,24,1.5278,1.7821,1.3520,102.93,104.60,20.32,17.44,2.0143,0.010198,1.3478,0.1208,33.50,4.2533,98.51,2.9047,37.13,36.05,140.29,3.9019,36.81,0.006063
,,25,1.5255,1.7897,1.3535,103.20,104.71,20.33,17.45,2.0174,0.010205,1.3471,0.1211,33.56,4.2653,99.06,2.9122,37.18,36.09,139.97,3.9124,36.85,0.006068
,,26,1.5267,1.7860,1.3523,103.21,104.75,20.29,17.44,2.0182,0.010213,1.3459,0.1214,33.64,4.2673,98.89,2.9163,37.14,36.06,139.84,3.9129,36.82,0.006063
,,29,1.5232,1.7851,1.3599,102.65,104.58,20.38,17.53,2.0250,0.010247,1.3310,0.1210,33.69,4.2757,98.35,2.9277,37.35,36.26,139.16,3.9264,37.02,0.006095
,,30,1.5210,1.7811,1.3613,103.09,104.51,20.39,17.55,2.0288,0.010267,1.3334,0.1218,33.62,4.2941,98.67,2.9310,37.39,36.30,138.84,3.9378,37.06,0.006102
,,31,1.5204,1.7862,1.3630,102.54,104.11,20.41,17.57,2.0326,0.010259,1.3227,0.1219,33.65,4.2949,98.72,2.9283,37.43,36.34,138.67,3.9359,37.11,0.006112
,Sep,01,1.5209,1.7921,1.3633,102.75,104.04,20.41,17.58,2.0354,0.010268,1.3202,0.1217,33.43,4.2958,98.81,2.9218,37.44,36.35,138.62,3.9379,37.12,0.006113
,,02,1.5216,1.8046,1.3587,102.66,103.79,20.34,17.52,2.0326,0.010250,1.3150,0.1216,33.26,4.2902,99.04,2.9132,37.31,36.23,138.64,3.9269,36.99,0.006095
,,05,1.5169,1.8086,1.3585,103.16,104.77,20.34,17.52,2.0394,0.010295,1.3103,0.1226,33.34,4.3085,99.50,2.9174,37.31,36.23,138.72,3.9167,36.99,0.006092
,,06,1.5142,1.8085,1.3575,103.63,105.09,20.32,17.50,2.0405,0.010321,1.3112,0.1229,33.28,4.3234,99.34,2.9134,37.28,36.20,138.53,3.9025,36.96,0.006087
,,07,1.5159,1.8078,1.3475,103.38,104.89,20.20,17.37,2.0300,0.010302,1.3281,0.1232,33.18,4.3117,100.09,2.8940,37.01,35.93,139.05,3.8956,36.69,0.006042
,,08,1.5158,1.7985,1.3474,103.44,104.69,20.21,17.37,2.0266,0.010289,1.3253,0.1231,33.20,4.3052,100.49,2.8760,37.00,35.92,139.02,3.8841,36.68,0.006042
,,09,1.5241,1.8006,1.3516,103.38,104.62,20.25,17.42,2.0308,0.010335,1.3229,0.1228,33.25,4.3076,100.03,2.8712,37.12,36.04,139.08,3.8901,36.80,0.006061
,,13,1.5256,1.8109,1.3579,102.47,104.07,20.33,17.50,2.0316,0.010322,1.3351,0.1221,33.09,4.2913,99.71,2.8639,37.29,36.20,139.74,3.8998,36.97,0.006089
,,14,1.5333,1.8030,1.3662,102.23,103.88,20.48,17.61,2.0390,0.010327,1.3275,0.1214,33.08,4.3098,99.28,2.8711,37.52,36.42,139.82,3.9079,37.19,0.006125
,,15,1.5351,1.8105,1.3654,101.86,103.35,20.46,17.60,2.0425,0.010370,1.3356,0.1212,33.07,4.3047,99.24,2.8643,37.50,36.40,140.30,3.9134,37.17,0.006121
,,16,1.5318,1.8034,1.3626,102.40,103.62,20.42,17.56,2.0380,0.010370,1.3361,0.1216,32.91,4.3189,99.67,2.8506,37.42,36.33,140.19,3.9133,37.10,0.006108
,,19,1.5235,1.7791,1.3642,102.79,103.65,20.45,17.59,2.0381,0.010365,1.3369,0.1220,33.02,4.3421,99.64,2.8501,37.46,36.37,139.35,3.9156,37.14,0.006113
,,20,1.5231,1.7776,1.3634,102.81,103.25,20.44,17.58,2.0340,0.010367,1.3377,0.1218,32.90,4.3517,99.77,2.8460,37.44,36.35,139.02,3.9133,37.12,0.006108
,,21,1.5181,1.7661,1.3614,102.87,103.29,20.40,17.55,2.0305,0.010349,1.3365,0.1223,32.82,4.3358,99.56,2.8499,37.39,36.29,139.05,3.9126,37.06,0.006096
,,22,1.5155,1.7664,1.3537,103.35,103.46,20.30,17.45,2.0245,0.010328,1.3484,0.1225,32.90,4.3143,99.32,2.8293,37.17,36.09,139.05,3.9034,36.85,0.006069
,,23,1.5210,1.7711,1.3583,103.68,103.96,20.36,17.51,2.0367,0.010373,1.3427,0.1230,32.96,4.3229,98.80,2.8286,37.30,36.21,139.99,3.9172,36.98,0.006088
,,26,1.5284,1.7666,1.3610,103.68,103.34,20.40,17.55,2.0386,0.010408,1.3484,0.1229,32.93,4.3246,98.55,2.8210,37.37,36.28,140.31,3.9267,37.05,0.006100
,,27,1.5279,1.7640,1.3587,104.14,103.17,20.37,17.52,2.0432,0.010492,1.3475,0.1237,32.99,4.3313,99.04,2.8221,37.31,36.22,140.10,3.9286,36.99,0.006089
,,28,1.5245,1.7684,1.3596,104.31,102.84,20.38,17.53,2.0460,0.010523,1.3521,0.1241,32.84,4.3420,98.95,2.8200,37.34,36.24,139.98,3.9272,37.02,0.006093
,,29,1.5290,1.7723,1.3614,104.76,104.19,20.41,17.56,2.0488,0.010507,1.3431,0.1242,33.09,4.3481,99.35,2.8221,37.39,36.26,140.26,3.9347,37.07,0.006104
,,30,1.5318,1.7710,1.3656,104.18,103.86,20.47,17.61,2.0468,0.010509,1.3468,0.1238,32.94,4.3602,99.20,2.8167,37.50,36.37,141.32,3.9337,37.18,0.006122
,Oct,03,1.5339,1.7675,1.3653,104.50,104.13,20.46,17.61,2.0533,0.010512,1.3460,0.1239,33.01,4.3542,99.24,2.8254,37.49,36.39,140.45,3.9448,37.17,0.006121
,,04,1.5326,1.7565,1.3684,104.92,104.22,20.51,17.64,2.0567,0.010535,1.3394,0.1239,33.17,4.3651,99.74,2.8343,37.58,36.48,140.31,3.9452,37.25,0.006134
,,05,1.5373,1.7451,1.3699,104.61,104.02,20.53,17.66,2.0572,0.010538,1.3329,0.1231,33.08,4.3623,98.50,2.8354,37.62,36.52,140.11,3.9388,37.30,0.006141
,,06,1.5350,1.7441,1.3705,104.17,103.90,20.54,17.67,2.0577,0.010551,1.3245,0.1232,33.16,4.3656,98.24,2.8428,37.63,36.54,140.52,3.9337,37.31,0.006144
,,07,1.5261,1.7077,1.3735,104.04,103.75,20.59,17.70,2.0571,0.010576,1.3228,0.1231,33.07,4.3650,97.94,2.8414,37.72,36.62,139.78,3.9367,37.39,0.006159
,,10,1.5369,1.7032,1.3733,104.30,103.63,20.50,17.70,2.0634,0.010586,1.3349,0.1236,33.11,4.3631,98.25,2.8454,37.71,36.62,140.42,3.9192,37.39,0.006157
,,11,1.5349,1.6991,1.3788,104.09,104.48,20.53,17.77,2.0694,0.010614,1.3276,0.1231,33.18,4.3528,97.45,2.8432,37.86,36.76,140.24,3.9209,37.54,0.006182
,,12,1.5237,1.6951,1.3787,104.45,104.34,20.52,17.77,2.0650,0.010591,1.3330,0.1228,32.96,4.3606,97.64,2.8339,37.86,36.75,139.52,3.8968,37.54,0.006183
,,13,1.5265,1.6873,1.3847,104.31,104.25,20.58,17.85,2.0739,0.010618,1.3331,0.1223,32.90,4.3623,97.77,2.8509,38.02,36.92,139.98,3.8744,37.70,0.006208
,,14,1.5328,1.6986,1.3892,105.37,105.19,20.66,17.91,2.0781,0.010635,1.3360,0.1223,32.98,4.3782,98.72,2.8690,38.15,37.04,140.74,3.9399,37.82,0.006228
,,17,1.5291,1.6936,1.3922,105.79,105.77,20.68,17.94,2.0826,0.010662,1.3359,0.1219,32.99,4.3776,98.83,2.8681,38.23,37.12,140.71,3.9355,37.90,0.006241
,,18,1.5299,1.6968,1.3880,106.49,106.04,20.59,17.89,2.0787,0.010637,1.3370,0.1225,32.95,4.3735,99.76,2.8634,38.12,37.00,140.61,3.9432,37.79,0.006221
,,19,1.5239,1.7037,1.3865,106.40,105.85,20.57,17.87,2.0794,0.010663,1.3359,0.1237,33.09,4.4045,100.05,2.8754,38.07,36.96,140.21,3.9739,37.75,0.006216
,,20,1.5231,1.7057,1.3878,106.61,105.64,20.59,17.89,2.0803,0.010674,1.3393,0.1235,33.23,4.4045,100.57,2.8909,38.11,37.00,140.30,3.9765,37.78,0.006222
,,21,1.5201,1.7062,1.3941,106.37,105.25,20.63,17.97,2.0832,0.010695,1.3390,0.1227,33.25,4.3988,99.92,2.8860,38.28,37.17,140.10,3.9673,37.95,0.006248
,,24,1.5139,1.6995,1.3930,106.01,104.33,20.56,17.96,2.0824,0.010682,1.3406,0.1227,33.31,4.3943,99.74,2.8889,38.26,37.14,140.06,3.9777,37.93,0.006242
,,25,1.5144,1.7022,1.3923,106.08,104.39,20.55,17.95,2.0823,0.010690,1.3328,0.1226,33.34,4.4046,99.55,2.8814,38.23,37.12,140.08,3.9757,37.91,0.006233
,,26,1.5130,1.6898,1.3892,106.75,104.04,20.52,17.91,2.0789,0.010681,1.3314,0.1224,33.39,4.3972,99.44,2.8753,38.15,37.04,139.63,3.9657,37.82,0.006220
,,27,1.5181,1.7011,1.3926,106.17,104.00,20.55,17.96,2.0808,0.010689,1.3335,0.1219,33.30,4.3968,99.60,2.8701,38.24,37.13,140.10,3.9692,37.91,0.006236
,,28,1.5212,1.6989,1.3946,105.91,104.24,20.57,17.99,2.0857,0.010693,1.3262,0.1218,33.23,4.4057,99.59,2.8760,38.30,37.19,140.39,3.9693,37.97,0.006245
,,31,1.5273,1.6968,1.3921,105.90,103.83,20.56,17.95,2.0865,0.010671,1.3288,0.1216,33.11,4.4120,99.56,2.8721,38.23,37.12,140.93,3.9763,37.90,0.006236
,Nov,01,1.5238,1.7004,1.3902,106.35,103.64,20.52,17.93,2.0840,0.010663,1.3257,0.1219,33.19,4.4063,99.62,2.8726,38.18,37.07,140.45,3.9720,37.85,0.006227
,,02,1.5383,1.7012,1.3900,106.06,103.78,20.55,17.92,2.0804,0.010640,1.3393,0.1209,33.13,4.3995,100.33,2.8689,38.18,37.06,142.81,3.9669,37.84,0.006228
,,03,1.5381,1.7067,1.3837,106.06,103.42,20.47,17.84,2.0739,0.010598,1.3488,0.1213,33.05,4.3990,101.12,2.8618,38.00,36.89,142.62,3.9614,37.67,0.006198
,,04,1.5367,1.7275,1.3850,106.37,103.37,20.48,17.86,2.0758,0.010583,1.3439,0.1212,33.00,4.4051,101.33,2.8610,38.03,36.93,142.05,3.9605,37.71,0.006203
,,07,1.5382,1.7298,1.3885,106.60,103.75,20.50,17.90,2.0819,0.010614,1.3316,0.1216,32.98,4.4149,101.57,2.8610,38.13,37.02,142.32,3.9637,37.80,0.006217
,,08,1.5344,1.7226,1.3902,107.05,103.89,20.51,17.93,2.0839,0.010622,1.3309,0.1223,33.05,4.4147,101.83,2.8602,38.18,37.07,142.60,3.9765,37.85,0.006223
,,09,1.5571,1.7333,1.3880,105.84,102.96,20.53,17.90,2.0755,0.010561,1.3611,0.1203,32.89,4.3884,102.03,2.8382,38.12,37.01,144.66,3.9737,37.79,0.006214
,,10,1.5290,1.7359,1.3980,107.17,104.23,20.59,18.03,2.1072,0.010660,1.3280,0.1217,32.88,4.4295,101.58,2.8695,38.39,37.28,142.22,3.9875,38.06,0.006263
,,11,1.5375,1.7703,1.4100,107.16,104.58,20.70,18.18,2.1024,0.010546,1.3240,0.1212,32.96,4.4356,101.58,2.8776,38.72,37.59,142.93,3.9932,38.39,0.006314
,,14,1.5266,1.7755,1.4134,106.77,104.31,20.71,18.22,2.0949,0.010579,1.3160,0.1211,32.64,4.4307,100.39,2.8789,38.82,37.68,142.57,3.9932,38.48,0.006326
,,15,1.5195,1.7644,1.4130,106.84,104.39,20.60,18.21,2.0876,0.010598,1.3077,0.1208,32.59,4.4292,100.51,2.8699,38.81,37.67,141.73,3.9932,38.47,0.006322
,,16,1.5197,1.7636,1.4138,106.84,105.26,20.58,18.23,2.0903,0.010580,1.2972,0.1211,32.51,4.4494,100.34,2.8765,38.83,37.69,141.46,3.9898,38.49,0.006318
,,17,1.5147,1.7584,1.4165,105.88,105.40,20.62,18.26,2.0860,0.010583,1.2998,0.1202,32.28,4.4388,100.56,2.8671,38.90,37.77,141.34,3.9986,38.56,0.006321
,,18,1.5124,1.7693,1.4264,105.48,105.30,20.70,18.39,2.0953,0.010631,1.2901,0.1206,32.33,4.4502,100.08,2.8637,39.18,38.03,141.41,4.0073,38.83,0.006341
,,21,1.5129,1.7616,1.4279,104.44,105.90,20.70,18.41,2.0957,0.010621,1.2854,0.1205,32.22,4.4587,99.95,2.8598,39.21,38.07,141.33,4.0155,38.87,0.006334
,,22,1.5123,1.7763,1.4223,105.21,106.10,20.64,18.34,2.0856,0.010577,1.2845,0.1210,32.17,4.4633,100.71,2.8543,39.06,37.92,140.99,4.0121,38.72,0.006311
,,23,1.5163,1.7721,1.4268,105.85,106.18,20.70,18.40,2.0840,0.010588,1.2850,0.1214,32.10,4.4738,100.79,2.8573,39.19,38.04,141.09,4.0180,38.85,0.006304
,,24,1.5120,1.7845,1.4352,105.82,106.19,20.74,18.50,2.0856,0.010602,1.2726,0.1213,32.15,4.4891,100.22,2.8707,39.42,38.26,140.94,4.0190,39.07,0.006311
,,25,1.5121,1.7806,1.4296,106.25,106.02,20.68,18.43,2.0820,0.010535,1.2606,0.1214,32.02,4.4809,100.37,2.8669,39.26,38.11,140.76,4.0073,38.92,0.006281
,,28,1.5160,1.7803,1.4228,106.31,105.59,20.61,18.34,2.0747,0.010551,1.2712,0.1216,31.89,4.4777,100.76,2.8570,39.07,37.93,140.94,4.0034,38.74,0.006266
,,29,1.5106,1.7677,1.4258,106.45,106.15,20.69,18.38,2.0759,0.010517,1.2721,0.1218,31.95,4.4849,100.89,2.8646,39.16,38.01,140.57,4.0062,38.82,0.006278
,,30,1.5151,1.7784,1.4250,106.45,106.01,20.70,18.37,2.0779,0.010507,1.2658,0.1219,31.91,4.4698,101.83,2.8654,39.13,37.99,140.69,4.0000,38.80,0.006286
,Dec,01,1.5167,1.7917,1.4307,105.89,106.70,20.75,18.45,2.0908,0.010539,1.2527,0.1219,32.02,4.4843,101.32,2.8755,39.29,38.14,140.76,4.0064,38.95,0.006306
,,02,1.5213,1.7964,1.4246,105.59,107.09,20.69,18.37,2.0844,0.010534,1.2503,0.1214,32.02,4.4618,101.05,2.8650,39.12,37.98,141.04,3.9916,38.78,0.006278
,,05,1.5037,1.8093,1.4254,106.15,106.90,20.69,18.38,2.0920,0.010547,1.2564,0.1216,32.04,4.4560,101.29,2.8666,39.14,38.00,140.16,4.0011,38.81,0.006278
,,06,1.5272,1.8095,1.4200,105.92,106.96,20.68,18.31,2.0859,0.010605,1.2483,0.1212,31.95,4.4422,101.33,2.8606,38.99,37.86,141.00,3.9860,38.66,0.006247
,,07,1.5252,1.8006,1.4225,105.78,107.04,20.65,18.34,2.0961,0.010667,1.2473,0.1218,32.07,4.4589,101.34,2.8621,39.06,37.93,140.93,3.9902,38.73,0.006261
,,08,1.5258,1.7907,1.4157,106.19,107.14,20.58,18.25,2.0981,0.010654,1.2501,0.1223,31.96,4.4704,102.16,2.8532,38.88,37.74,140.74,3.9756,38.54,0.006246
,,09,1.5113,1.7925,1.4248,106.25,107.89,20.65,18.37,2.1072,0.010684,1.2451,0.1221,32.20,4.4734,102.22,2.8581,39.13,37.99,140.18,3.9955,38.79,0.006306
,,12,1.5111,1.8009,1.4308,106.58,109.02,20.69,18.44,2.1183,0.010736,1.2416,0.1224,32.35,4.4906,102.22,2.8734,39.29,38.14,140.61,4.0101,38.95,0.006320
,,13,1.5147,1.8060,1.4244,106.77,108.54,20.64,18.36,2.1119,0.010705,1.2382,0.1222,32.19,4.4845,102.47,2.8634,39.12,37.97,140.51,4.0039,38.78,0.006290
,,14,1.5164,1.8045,1.4257,106.83,108.51,20.65,18.38,2.1131,0.010732,1.2375,0.1221,32.09,4.4903,102.86,2.8603,39.15,38.01,140.96,4.0082,38.81,0.006273
,,15,1.5104,1.8026,1.4370,106.68,108.18,20.72,18.52,2.1215,0.010750,1.2244,0.1219,32.19,4.5038,102.11,2.8804,39.46,38.31,140.54,4.0241,39.12,0.006316
,,16,1.5056,1.7910,1.4435,106.31,108.31,20.78,18.59,2.1280,0.010754,1.2216,0.1220,32.24,4.5227,101.49,2.8923,39.64,38.49,140.36,4.0338,39.30,0.006344
,,19,1.5124,1.8054,1.4466,105.57,108.44,20.83,18.63,2.1337,0.010809,1.2305,0.1219,32.29,4.5220,100.94,2.8941,39.73,38.57,140.98,4.0357,39.39,0.006356
,,20,1.5082,1.7965,1.4481,105.06,108.04,20.83,18.64,2.1352,0.010814,1.2353,0.1215,32.33,4.5221,100.38,2.8977,39.77,38.61,141.07,4.0371,39.43,0.006362
,,21,1.5034,1.7877,1.4439,104.75,108.04,20.78,18.60,2.1248,0.010721,1.2271,0.1209,32.23,4.5085,100.13,2.8907,39.65,38.50,140.53,4.0086,39.31,0.006342
,,22,1.5102,1.7886,1.4464,104.75,107.78,20.82,18.63,2.1315,0.010764,1.2306,0.1206,32.33,4.5143,99.86,2.8942,39.72,38.56,141.06,4.0167,39.38,0.006355
,,23,1.5107,1.7760,1.4466,104.29,107.23,20.81,18.64,2.1298,0.010741,1.2314,0.1203,32.29,4.4987,99.90,2.8944,39.73,38.56,141.06,4.0194,39.39,0.006359
,,27,1.5118,1.7771,1.4486,103.98,106.98,20.84,18.67,2.1348,0.010784,1.2340,0.1201,32.35,4.4901,99.71,2.9085,39.78,38.61,140.79,4.0217,39.44,0.006365
,,28,1.5174,1.7810,1.4493,104.38,106.77,20.84,18.68,2.1246,0.010772,1.2322,0.1200,32.34,4.4870,100.23,2.9092,39.80,38.62,141.04,4.0225,39.46,0.006365
,,29,1.5140,1.7757,1.4499,104.41,107.10,20.85,18.69,2.1254,0.010764,1.2421,0.1200,32.33,4.4865,100.48,2.9126,39.82,38.64,141.25,4.0292,39.47,0.006366
,,30,1.5230,1.7768,1.4463,104.60,107.27,20.81,18.65,2.1288,0.010761,1.2394,0.1199,32.24,4.4863,100.66,2.9183,39.72,38.56,141.66,4.0366,39.38,0.006353

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
2017,Jan,03,1.5176,1.7808,1.4473,104.64,107.92,20.81,18.66,2.1254,0.010742,1.2331,0.1202,32.22,4.4894,100.75,2.9088,39.75,38.58,141.67,4.0410,39.40,0.006365
,,04,1.5076,1.7736,1.4489,104.90,107.69,20.83,18.68,2.1237,0.010754,1.2282,0.1200,32.20,4.4862,100.06,2.9131,39.79,38.63,140.97,4.0359,39.45,0.006379
,,05,1.5130,1.7719,1.4378,104.86,108.26,20.76,18.54,2.1174,0.010762,1.2349,0.1206,32.04,4.4925,100.49,2.8985,39.49,38.33,141.15,4.0184,39.14,0.006345
,,06,1.5159,1.7738,1.4316,104.94,107.98,20.72,18.46,2.1109,0.010726,1.2365,0.1203,32.01,4.4834,100.44,2.8936,39.32,38.17,141.57,4.0090,38.98,0.006342
,,09,1.5172,1.7645,1.4410,105.39,108.74,20.78,18.58,2.1138,0.010763,1.2277,0.1195,32.18,4.4905,100.28,2.9070,39.58,38.42,141.54,4.0274,39.23,0.006393
,,10,1.5210,1.7435,1.4327,105.75,108.50,20.69,18.47,2.1068,0.010776,1.2422,0.1198,32.02,4.4856,100.86,2.8943,39.35,38.20,141.60,4.0267,39.01,0.006348
,,11,1.5138,1.7467,1.4354,105.92,108.37,20.73,18.51,2.1034,0.010783,1.2373,0.1201,32.08,4.4988,100.41,2.8973,39.43,38.27,141.07,4.0337,39.08,0.006360
,,12,1.5144,1.7425,1.4276,106.54,108.67,20.66,18.41,2.0965,0.010738,1.2466,0.1208,31.99,4.5020,101.00,2.8843,39.21,38.06,141.03,4.0413,38.87,0.006325
,,13,1.5148,1.7362,1.4280,106.89,108.47,20.70,18.41,2.0943,0.010719,1.2410,0.1213,32.00,4.5204,101.56,2.8767,39.22,38.07,141.25,4.0293,38.88,0.006327
,,16,1.5166,1.7194,1.4297,106.87,108.77,20.74,18.44,2.0949,0.010701,1.2523,0.1210,32.01,4.5134,101.38,2.8689,39.26,38.12,141.39,4.0324,38.92,0.006334
,,17,1.5177,1.7242,1.4284,106.92,108.59,20.71,18.42,2.0980,0.010690,1.2524,0.1211,31.98,4.5124,101.62,2.8588,39.23,38.08,141.41,4.0339,38.89,0.006329
,,18,1.5180,1.7516,1.4190,107.12,108.59,20.69,18.30,2.0889,0.010639,1.2548,0.1219,31.92,4.5060,102.18,2.8540,38.97,37.83,141.50,4.0267,38.63,0.006287
,,19,1.5190,1.7528,1.4274,107.38,107.59,20.82,18.40,2.0923,0.010684,1.2460,0.1213,32.07,4.5162,101.96,2.8585,39.20,38.06,141.78,4.0333,38.86,0.006324
,,20,1.5216,1.7611,1.4239,107.97,107.08,20.73,18.35,2.0925,0.010643,1.2423,0.1218,32.02,4.5226,102.71,2.8544,39.11,37.96,141.79,4.0326,38.77,0.006309
,,23,1.5252,1.7644,1.4196,107.45,106.83,20.73,18.30,2.0861,0.010620,1.2495,0.1217,31.97,4.5180,102.21,2.8477,38.99,37.85,142.13,4.0227,38.65,0.006295
